scode,scount,ssum,spercent,sdate
210624,4562,3317,72.7093,2013/1/3 0:00:00
210681,1677,1599,95.3488,2013/1/3 0:00:00
210682,3875,2750,70.9677,2013/1/3 0:00:00
210702,44,0,0.0000,2013/1/3 0:00:00
210703,37,0,0.0000,2013/1/3 0:00:00
210711,307,0,0.0000,2013/1/3 0:00:00
210726,1810,0,0.0000,2013/1/3 0:00:00
210727,1741,0,0.0000,2013/1/3 0:00:00
210781,2045,381,18.6308,2013/1/3 0:00:00
210782,1248,2,0.1603,2013/1/3 0:00:00
210802,79,79,100.0000,2013/1/3 0:00:00
210803,108,106,98.1481,2013/1/3 0:00:00
210804,209,194,92.8230,2013/1/3 0:00:00
210811,108,108,100.0000,2013/1/3 0:00:00
210881,2055,1602,77.9562,2013/1/3 0:00:00
210882,1054,928,88.0455,2013/1/3 0:00:00
210902,66,0,0.0000,2013/1/3 0:00:00
210903,33,0,0.0000,2013/1/3 0:00:00
210904,45,0,0.0000,2013/1/3 0:00:00
210905,75,0,0.0000,2013/1/3 0:00:00
210911,123,0,0.0000,2013/1/3 0:00:00
210921,4387,0,0.0000,2013/1/3 0:00:00
210922,2462,132,5.3615,2013/1/3 0:00:00
211002,14,14,100.0000,2013/1/3 0:00:00
211003,23,23,100.0000,2013/1/3 0:00:00
211004,33,33,100.0000,2013/1/3 0:00:00
211005,197,148,75.1269,2013/1/3 0:00:00
211011,157,157,100.0000,2013/1/3 0:00:00
211021,1988,1713,86.1670,2013/1/3 0:00:00
211081,929,924,99.4618,2013/1/3 0:00:00
211102,80,58,72.5000,2013/1/3 0:00:00
211103,121,113,93.3884,2013/1/3 0:00:00
211121,859,800,93.1315,2013/1/3 0:00:00
211122,1106,949,85.8047,2013/1/3 0:00:00
211202,163,157,96.3190,2013/1/3 0:00:00
211204,240,232,96.6667,2013/1/3 0:00:00
211221,1521,1476,97.0414,2013/1/3 0:00:00
211223,2040,1974,96.7647,2013/1/3 0:00:00
211224,2947,2945,99.9321,2013/1/3 0:00:00
211281,316,307,97.1519,2013/1/3 0:00:00
211282,1808,1756,97.1239,2013/1/3 0:00:00
211302,592,23,3.8851,2013/1/3 0:00:00
211303,514,256,49.8054,2013/1/3 0:00:00
211321,2603,854,32.8083,2013/1/3 0:00:00
211322,3454,2967,85.9004,2013/1/3 0:00:00
211324,1590,1538,96.7296,2013/1/3 0:00:00
211381,2990,152,5.0836,2013/1/3 0:00:00
211382,2184,1875,85.8516,2013/1/3 0:00:00
211402,1118,0,0.0000,2013/1/3 0:00:00
211403,167,4,2.3952,2013/1/3 0:00:00
211404,308,4,1.2987,2013/1/3 0:00:00
211421,1988,389,19.5674,2013/1/3 0:00:00
211422,2173,1282,58.9968,2013/1/3 0:00:00
211481,1478,162,10.9608,2013/1/3 0:00:00
220102,318,307,96.5409,2013/1/3 0:00:00
220103,638,638,100.0000,2013/1/3 0:00:00
220104,291,291,100.0000,2013/1/3 0:00:00
220105,139,139,100.0000,2013/1/3 0:00:00
220106,378,378,100.0000,2013/1/3 0:00:00
220112,1520,1517,99.8026,2013/1/3 0:00:00
220122,4049,4040,99.7777,2013/1/3 0:00:00
220181,2358,2356,99.9152,2013/1/3 0:00:00
220182,3298,3298,100.0000,2013/1/3 0:00:00
220183,2397,2397,100.0000,2013/1/3 0:00:00
220202,709,679,95.7687,2013/1/3 0:00:00
220203,898,878,97.7728,2013/1/3 0:00:00
220204,515,513,99.6117,2013/1/3 0:00:00
220211,742,606,81.6712,2013/1/3 0:00:00
220221,1966,1848,93.9980,2013/1/3 0:00:00
220281,4684,3175,67.7839,2013/1/3 0:00:00
220282,4788,2948,61.5706,2013/1/3 0:00:00
220283,3219,2512,78.0367,2013/1/3 0:00:00
220284,2984,2726,91.3539,2013/1/3 0:00:00
